word,base
Łódzkiego,łódzki
Zapraszamy,zapraszać
drugie,drugi
środę,środa
godz,godzina
czytelni,czytelnia
ul,ulica
Listopadowa,listopadowy
meczu,mecz
nasi,nasz
piłkarze,piłkarz
odnieśli,odnieść
porażkę,porażka
tego,to
zakończyło,zakończyć
niepowodzeniem,niepowodzenie
zagrała,zagrać
minuty,minuta
powodu,powód
drugiej,drugi
żółtej,żółty
kartki,kartka
musieli,musieć
znacznym,znaczny
stopniu,stopień
ułatwiło,ułatwić
piłkarzom,piłkarz
zagrała,zagrać
Zmiany,zmiana
minucie,minuta
minucie,minuta
Kołodziejskiego,kołodziejski
Słuchajcie,słuchać
cyklu,cykl
Sokolnikach,Sokolniki
Słuchajcie,słuchać
Zniszczona,zniszczony
niespełniająca,spełniać
wymogów,wymóg
bezpieczeństwa,bezpieczeństwo
lasku,lasek
komunalnym,komunalny
ul,ulica
Leśnej,leśny
może,móc
życiem,życie
remoncie,remonta
władze,władza
miasta,miasto
rozmawiają,rozmawiać
policją,policja
Ze,z
strzelnicy,strzelnica
mogli,móc
funkcjonariusze,funkcjonariusz
członkowie,członek
koła,koło
strzeleckiego,strzelecki
ŚLADAMI,ślad
NOBLISTÓW,noblista
POLSKICH,polski
Miejska,miejski
Publiczna,publiczny
im,imienia
Baczyńskiego,Baczyński
Ozorkowie,Ozorków
zaprasza,zapraszać
prelekcję,prelekcja
cyklu,cykl
Śladami,ślad
noblistów,noblista
polskich,polski
pt,pod tytułem
Wisławy,Wisława
Szymborskiej,Szymborska
rocznicę,rocznica
otrzymania,otrzymać
nagrody,nagroda
Nobla,Nobel
ul,ulica
Listopadowej,listopadowy
listopada,listopad
godz,godzina
Ozorkowie,Ozorków
wszyscy,wszystek
tym,to
naszego,nasz
miasta,miasto
Spotka,spotkać
sie,si
burmistrzem,burmistrz
rozmowy,rozmowa
budowy,budowa
obwodnicy,obwodnica
modelu,model
Prezentujemy,prezentować
budowy,budowa
modelu,model
wersji,wersja
Mamy,mieć
nadzieję,Nadzieja
ze,z
dokładnym,dokładny
fotografiom,fotografia
montowanych,montować
elementów,element
będzie,być
przydatnym,przydatny
uzupełnieniem,uzupełnienie
białej,biały
instrukcji,instrukcja
dołączanej,dołączać
modelu,model
opisie,opis
przyjęli,przyjąć
śmy,być
następujące,następujący
konwencje,konwencja
oznacza,oznaczać
instrukcji,instrukcja
oznacza,oznaczać
zestawu,zestaw
oznaczoną,oznaczony
oznacza,oznaczać
drzewka,drzewko
Składanie,składać
modelu,model
podzielili,podzielić
śmy,być
etapy,etap
Zwrotnice,zwrotnica
Korzeni,korzeń
współczesnej,współczesny
myśli,myśl
prawniczej,prawniczy
przedsiębiorstwie,przedsiębiorstwo
poszukiwano,poszukiwać
dziełach,dzieło
prawników,prawnik
rzymskich,rzymski
Doszukiwano,doszukiwać
ich,on
in,inaczej
konstrukcjach,konstrukcja
myślowych,myślowy
wybitnego,wybitny
jurysty,jurysta
czasów,czas
rzymskich,rzymski
posługiwał,posługiwać
pojęciem,pojęcie
tj,to jest
wierzycieli,wierzyciel
interesu,interes
kontekście,kontekst
kredytu,kredyt
handlowego,handlowy
zalecał,zalecać
wierzycielom,wierzyciel
bardziej,bardzo
samemu,sam
interesowi,interes
jemu,on
samemu,sam
tj,to jest
właścicielowi,właściciel
tegoż,tenże
interesu,interes
Wyróżniali,wyróżniać
oni,on
podstawowe,podstawowy
kategorie,kategoria
rzeczy,rzecz
pierwszą,pierwszy
naturalne,naturalny
całości,całość
drugą,drugi
rzeczy,rzecz
złożone,złożyć
wielu,wiele
zespolonych,zespolić
ze,z
sobą,siebie
części,część
trzecią,trzeci
rzeczy,rzecz
zbiorowe,zbiorowy
których,który
przykładem,przykład
był,być
towarów,towar
pojedyncza,pojedynczy
stanowiła,stanowić
własności,własność
składała,składać
jednolitej,jednolity
niepodzielnej,niepodzielny
materii,materia
złożona,złożony
składała,składać
różnych,różny
elementów,element
które,który
stanowiły,stanowić
obrotu,obrót
momencie,moment
złączenia,złączyć
potencjalnych,potencjalny
stosunków,stosunek
prawnych,prawny
mogła,móc
powstała,powstać
zbiorowa,zbiorowy
złożona,złożyć
była,być
kilku,kilka
jednorodzajowych,jednorodzajowy
elementów,element
które,który
istotne,istotny
mogły,móc
obrotu,obrót
połączeniem,połączenie
ich,on
złączeniu,złączyć
funkcjonalną,funkcjonalny
Instytucją,instytucja
prawa,prawo
rzymskiego,rzymski
która,który
zbliżona,zbliżony
była,być
współczesnego,współczesny
pojmowania,pojmować
przedsiębiorstwa,przedsiębiorstwo
najbardziej,bardzo
jest,być
Stanowiła,stanowić
ją,on
majątku,majątek
którą,który
przekazywał,przekazywać
swojemu,swój
niewolnikowi,niewolnik
synowi,syn
wyzbywając,wyzbywać
jej,on
własności,własność
była,być
ona,on
kompleksem,kompleks
majątkowym,majątkowy
zarządzany,zarządzać
był,być
przynosił,przynosić
Przedmiotem,przedmiot
mogły,móc
pieniądze,pieniądz
handlowe,handlowy
przemysłowe,przemysłowy
rolne,rolny
Kolejne,kolejny
obecnego,obecny
rozumienia,rozumieć
przedsiębiorstwa,przedsiębiorstwo
przejawiało,przejawiać
płaszczyźnie,płaszczyzna
odpowiedzialności,odpowiedzialność
związane,związać
nim,on
Przyjemy,przyjeść
zawarł,zawrzeć
synem,syn
rodziny,rodzina
miał,mieć
tym,ten
samym,sam
dwóch,dwa
dłużników,dłużnik
Pierwszego,pierwszy
osobie,osoba
syna,syn
drugiego,drugi
osobie,osoba
ojca,ojciec
wysokości,wysokość
majątku,majątek
oddanego,oddany
synowi,syn
pobieżna,pobieżny
tego,ten
wątku,wątek
pozwala,pozwalać
przyrównanie,przyrównać
tej,ten
sytuacji,sytuacja
odpowiedzialności,odpowiedzialność
dzisiejszego,dzisiejszy
nabywcy,nabywca
przedsiębiorstwa,przedsiębiorstwo
problematyki,problematyka
przedsiębiorstwa,przedsiębiorstwo
polskim,polski
systemie,system
prawnym,prawny
doprowadziła,doprowadzić
trojakiego,trojaki
kontekstu,kontekst
którym,który
było,być
jego,on
istotę,istota
podmiotowego,podmiotowy
przedmiotowego,przedmiotowy
funkcjonalnego,funkcjonalny
doktrynie,doktryna
posługiwano,posługiwać
ujęciem,ujęcie
czwartym,czwarty
tj,to jest
przedsiębiorstwem,przedsiębiorstwo
podstawową,podstawowy
strukturą,struktura
prawną,prawny
piątym,piąty
elementem,element
nazwy,nazwa
określonych,określony
gospodarczych,gospodarczy
struktur,struktura
prawnych,prawny
ostatnie,ostatni
znaczenia,znaczenie
przyjęły,przyjąć
stałe,stały
literaturze,literatura
przedmiotu,przedmiot
pełną,pełny
aprobatę,aprobata
zasługuje,zasługiwać
zbiorcze,zbiorczy
przedsiębiorstwa,przedsiębiorstwo
kategorii,kategoria
funkcjonalnej,funkcjonalny
zakładającej,zakładać
trzech,trzy
jego,on
podstawowych,podstawowy
ujęć,ujęcie
objaśnianiu,objaśniać
istoty,istota
przedsiębiorstwa,przedsiębiorstwo
Moim,mój
zdaniem,zdanie
takie,taki
wynika,wynikać
treści,treść
czym,co
chwilę,chwila
Podmiotowe,podmiotowy
przedsiębiorstwa,przedsiębiorstwo
odwołuje,odwoływać
podmiotu,podmiot
prowadzącego,prowadzić
działalności,działalność
gospodarczą,gospodarczy
jest,być
owym,ow
substratem,substrat
przychodzi,przychodzić
użycie,użyć
pojęcia,pojęcie
tym,ten
kontekście,kontekst
takim,taki
ujęciu,ująć
punktu,punkt
widzenia,widzenie
legislacyjnego,legislacyjny
uznawane,uznawać
będzie,być
państwowe,państwowy
komunalne,komunalny
przedsiębiorstwie,przedsiębiorstwo
znaczeniu,znaczenie
funkcjonalnym,funkcjonalny
będziemy,być
przypadku,przypadek
prowadzenia,prowadzić
działalności,działalność
gospodarczej,gospodarczy
które,który
to,ten
obowiązywało,obowiązywać
podstawie,podstawa
uchylonych,uchylić
przepisów,przepis
Kodeksu,kodeks
handlowego,handlowy
zob,zobacz
stanowiąc,stanowić
przedsiębiorstwie,przedsiębiorstwo
zarobkowym,zarobkowy
którego,który
to,ten
działalności,działalność
gospodarczej,gospodarczy
stanowi,stanowić
zorganizowany,zorganizować
składników,składnik
niematerialnych,niematerialny
materialnych,materialny
przeznaczony,przeznaczyć
prowadzenia,prowadzić
działalności,działalność
gospodarczej,gospodarczy
szczególności,szczególność
obejmuje,obejmować
elementy,element
wymienione,wymienić
tym,ten
przepisie,przepis
Wskazuje,wskazywać
literaturze,literatura
ta,ten
wyraża,wyrażać
przedmiotowe,przedmiotowy
rozumienie,rozumieć
pojęcia,pojęcie
przedsiębiorstwa,przedsiębiorstwo
zawiera,zawierać
ona,on
jego,on
definicję,definicja
legalną,legalny
Przedmiotowe,przedmiotowy
przedsiębiorstwa,przedsiębiorstwo
zwane,zwać
obiektywnym,obiektywny
traktuje,traktować
Przywołując,przywoływać
zdania,zdanie
literatury,literatura
przedwojennej,przedwojenny
utożsamiające,utożsamiać
ogółem,ogół
przedmiotów,przedmiot
majątkowych,majątkowy
stanowiących,stanowić
podstawę,podstawa
działalności,działalność
zarobkowej,zarobkowy
ogółem,ogół
urządzeń,urządzenie
służących,służyć
trwałemu,trwały
oddawaniu,oddawać
pewnym,pewien
czynnościom,czynność
takie,taki
sprowadza,sprowadzać
szeregu,szereg
składników,składnik
materialnych,materialny
niematerialnych,niematerialny
szeregu,szereg
określonych,określony
sytuacji,sytuacja
faktycznych,faktyczny
zorganizowanych,zorganizować
pewną,pewien
poddanych,poddana
szerszej,szeroki
koncepcji,koncepcja
gospodarczej,gospodarczy
tym,ten
momencie,moment
kwestię,kwestia
obowiązującej,obowiązywać
definicji,definicja
działalności,działalność
gospodarczej,gospodarczy
tj,to jest
ustawy,ustawa
dnia,dzień
lipca,lipiec
swobodzie,swoboda
działalności,działalność
gospodarczej,gospodarczy
jej,on
kontekście,kontekst
wyłaniające,wyłaniać
niej,on
analizowanym,analizować
kontekście,kontekst
pytania,pytanie
wykonywanie,wykonywać
działalności,działalność
gospodarczej,gospodarczy
oparciu,oparcie
determinuje,determinować
prowadzenia,prowadzić
toku,tok
tej,ten
działalności,działalność
przedsiębiorstwa,przedsiębiorstwo
znaczeniu,znaczenie
przedmiotowym,przedmiotowy
prowadzenie,prowadzić
przedsiębiorstwa,przedsiębiorstwo
znaczeniu,znaczenie
przedmiotowym,przedmiotowy
kwalifikowane,kwalifikować
jest,być
wykonywanie,wykonywać
działalności,działalność
gospodarczej,gospodarczy
rozumieniu,rozumienie
ustawy,ustawa
swobodzie,swoboda
działalności,działalność
gospodarczej,gospodarczy
pierwszej,pierwszy
kolejności,kolejność
należy,należeć
ust,usta
ustawy,ustawa
swobodzie,swoboda
działalności,działalność
gospodarczej,gospodarczy
definiuje,definiować
działalności,działalność
gospodarczą,gospodarczy
zarobkową,zarobkowy
wytwórczą,wytwórczy
handlową,handlowy
budowlaną,budowlany
usługową,usługowy
poszukiwanie,poszukiwać
rozpoznawanie,rozpoznawać
wydobywanie,wydobywać
kopalin,kopalina
ze,z
złóż,złoże
zawodową,zawodowy
wykonywaną,wykonywać
zorganizowany,zorganizować
wspomniał,wspomnieć
em,być
identyczną,identyczny
rolę,rola
powyższa,powyższy
tzn,to znaczy
opisującą,opisywać
aktywności,aktywność
gospodarczej,gospodarczy
spełniało,spełniać
czasu,czas
uchwalenia,uchwalić
noweli,nowela
lipcowej,lipcowy
roku,rok
wprowadzającej,wprowadzać
polskiego,polski
systemu,system
prawnego,prawny
okresu,okres
powojennego,powojenny
przedsiębiorstwa,przedsiębiorstwo
znaczeniu,znaczenie
przedmiotowym,przedmiotowy
przedsiębiorstwa,przedsiębiorstwo
zarobkowego,zarobkowy
ust,usta
sensie,sens
materialnym,materialny
działalności,działalność
gospodarczej,gospodarczy
ustawy,ustawa
swobodzie,swoboda
działalności,działalność
gospodarczej,gospodarczy
jest,być
tożsame,tożsamy
przedsiębiorstwem,przedsiębiorstwo
zarobkowym,zarobkowy
wg,według
przepisów,przepis
zrezygnował,zrezygnować
szeregu,szereg
szczegółowych,szczegółowy
rodzajów,rodzaj
działalności,działalność
uznawanej,uznawać
gospodarczą,gospodarczy
formułowanych,formułować
doktrynę,doktryna
prawa,prawo
jednego,jeden
stwierdzenia,stwierdzenie
przedsiębiorstwa,przedsiębiorstwo
zarobkowym,zarobkowy
Pobieżna,pobieżny
tych,ten
pojęć,pojęcie
wskazuje,wskazywać
niezwykłą,niezwykły
ustawodawcy,ustawodawca
okresu,okres
międzywojnia,międzywojnie
kwalifikacji,kwalifikacja
określonej,określić
działalności,działalność
gospodarczej,gospodarczy
Obie,oba
definicje,definicja
łączy,łączyć
prowadzonej,prowadzić
działalności,działalność
przedsiębiorstwa,przedsiębiorstwo
Jednym,jeden
wniosków,wniosek
wypływających,wypływać
analizy,analiza
szerokiego,szeroki
nurtu,nurt
poglądów,pogląd
doktryny,doktryna
kwalifikacji,kwalifikacja
prawnej,prawny
przedsiębiorstwa,przedsiębiorstwo
jest,być
koncepcje,koncepcja
te,ten
dalekie,daleki
są,być
jedności,jedność
Wypracowana,wypracować
została,zostać
jednolita,jednolity
procesu,proces
objaśniania,objaśniać
istoty,istota
przedsiębiorstwa,przedsiębiorstwo
przywołanie,przywołać
obowiązujących,obowiązujący
poglądów,pogląd
doktryny,doktryna
wyróżnienie,wyróżnić
jednego,jeden
jej,on
dominującego,dominować
nurtu,nurt
krytyka,krytyk
funkcjonujących,funkcjonować
koncepcji,koncepcja
oparciu,oparcie
istniejące,istnieć
regulacje,regulacja
prawa,prawo
stanowionego,stanowić
autorska,autorski
jurydycznego,jurydyczny
ujęcia,ująć
tej,ten
złożonej,złożony
instytucji,instytucja
prawnej,prawny
Formułując,formułować
swoją,swój
autorską,autorski
koncepcję,koncepcja
dotyczącą,dotyczyć
próby,próba
objaśnienia,objaśnić
natury,natura
prawnej,prawny
przedsiębiorstwa,przedsiębiorstwo
pozwolę,pozwolić
sobie,siebie
istniejący,istnieć
ułatwia,ułatwiać
tego,ten
zadania,zadanie
związku,związek
powyższym,powyższy
koncepcji,koncepcja
literaturze,literatura
odwołuje,odwoływać
określeń,określenie
zwrotów,zwrot
definicji,definicja
abstrakcyjnych,abstrakcyjny
wyniku,wynik
końcowym,końcowy
jurydycznej,jurydyczny
analizy,analiza
odbiegają,odbiegać
one,on
przyjętych,przyjąć
obowiązujących,obowiązujący
norm,norma
pozytywnych,pozytywny
wolę,wola
polskiego,polski
ustawodawcy,ustawodawca
próbie,próba
wyodrębnienia,wyodrębnić
przedsiębiorstwa,przedsiębiorstwo
szczególnego,szczególny
kompleksu,kompleks
majątkowego,majątkowy
chęci,chęć
poddania,poddać
go,on
sui,suja
reżimowi,reżim
prawnemu,prawny
zadania,zadanie
swojego,swój
wywiązał,wywiązać
pierwotnej,pierwotny
myśli,myśl
legislacyjnej,legislacyjny
zakłada,zakładać
praktyczną,praktyczny
uregulowania,uregulować
pojętego,pojąć
transferu,transfer
zespołu,zespół
dóbr,dobra
materialnych,materialny
niematerialnych,niematerialny
szczególnej,szczególny
funkcji,funkcja
prowadzenia,prowadzić
działalności,działalność
gospodarczej,gospodarczy
podstawowa,podstawowy
pojawia,pojawiać
etapie,etap
wstępnej,wstępny
kwalifikacji,kwalifikacja
prawnej,prawny
następuje,następować
wychwycenie,wychwycić
obrębie,obrąb
struktury,struktura
tego,ten
specyficznego,specyficzny
zespołu,zespół
zjawisk,zjawisko
które,który
funkcjonują,funkcjonować
zakresie,zakres
ukształtowanych,ukształtować
instytucji,instytucja
prawnych,prawny
spełniają,spełniać
określoną,określony
rolę,rola
płaszczyźnie,płaszczyzna
rozumianej,rozumieć
ekonomii,ekonomia
rachunkowości,rachunkowość
Pojęcia,pojęcie
takie,taki
atrakcyjna,atrakcyjny
stanowią,stanowić
prędzej,prędko
ujmowanego,ujmować
przedsiębiorstwa,przedsiębiorstwo
jego,on
elementy,element
zmienia,zmieniać
faktu,fakt
winny,winien
one,on
najbardziej,bardzo
relewantne,relewantny
procesie,proces
badania,badać
natury,natura
przedsiębiorstwa,przedsiębiorstwo
Czyniąc,czynić
przywołanej,przywołać
tradycji,tradycja
metodologicznej,metodologiczny
wskażę,wskazać
dominujący,dominować
analizowanym,analizować
aspekcie,aspekt
uznaje,uznawać
postrzeganie,postrzegać
przedsiębiorstwa,przedsiębiorstwo
samodzielnego,samodzielny
dobra,dobry
niematerialnego,niematerialny
odrębnego,odrębny
jego,on
majątku,majątek
ujętym,ująć
konstruuje,konstruować
podmiotowe,podmiotowy
bezwzględne,bezwzględny
teorii,teoria
przedsiębiorstwa,przedsiębiorstwo
dobra,dobry
niematerialnego,niematerialny
praktycznych,praktyczny
zarzutów,zarzut
tej,ten
koncepcji,koncepcja
pierwszej,pierwszy
kolejności,kolejność
napotyka,napotykać
znaczącą,znaczący
przeszkodę,przeszkoda
postaci,postać
przyjętej,przyjąć
zasady,zasada
dóbr,dobra
niematerialnych,niematerialny
Względy,wzgląd
systemowe,systemowy
nakazywały,nakazywać
związaną,związać
dotychczasowym,dotychczasowy
ustawodawcy,ustawodawca
polegającym,polegać
tworzeniu,tworzyć
odrębnych,odrębny
aktów,akt
poświęconych,poświęcić
poszczególnym,poszczególny
dobrom,dobra
charakterze,charakter
niematerialnym,niematerialny
należy,należeć
porównanie,porównać
przedsiębiorstwa,przedsiębiorstwo
przedmiotu,przedmiot
prawa,prawo
autorskiego,autorski
praw,prawo
pokrewnych,pokrewny
ma,mieć
opisowe,opisowy
ma,mieć
jurydycznej,jurydyczny
potrzeby,potrzeba
konstruowania,konstruować
odrębnego,odrębny
prawa,prawo
przedsiębiorstwa,przedsiębiorstwo
bardziej,bardzo
przyznawania,przyznawać
mu,on
bezwzględnego,bezwzględny
charakteru,charakter
jego,on
charakteru,charakter
nabiera,nabierać
doniosłego,doniosły
znaczenia,znaczenie
przypadku,przypadek
jego,on
zbycia,zbyć
związanych,związać
nim,on
konsekwencji,konsekwencja
należy,należeć
obecną,obecny
regulację,regulacja
zbędną,zbędny
ta,ten
prowadzi,prowadzić
wątpliwych,wątpliwy
intencje,intencja
ustawodawcy,ustawodawca
próbującego,próbować
oderwaniu,oderwanie
jego,on
zasadniczej,zasadniczy
funkcji,funkcja
tj,to jest
wykorzystywania,wykorzystywać
działalności,działalność
gospodarczej,gospodarczy
czynienia,czynić
go,on
przedmiotem,przedmiot
obrotu,obrót
prawnego,prawny
prowadzących,prowadzić
wykładni,wykładnia
jest,być
podstaw,podstawa
poszukiwania,poszukiwać
dodatkowej,dodatkowy
ochrony,ochrona
tegoż,tenże
kompleksu,kompleks
istniejące,istnieć
instrumenty,instrument
prawne,prawny
zupełności,zupełność
takie,taki
wypełniają,wypełniać
tego,ten
tytułu,tytuł
formułowania,formułować
odrębnego,odrębny
jego,on
składników,składnik
prawa,prawo
podmiotowego,podmiotowy
składa,składać
szeregu,szereg
praw,prawo
podmiotowych,podmiotowy
tworząc,tworzyć
tym,to
samym,sam
odrębnego,odrębny
pierwsze,pierwszy
poszczególne,poszczególny
reżimy,reżim
ochrony,ochrona
jego,on
składników,składnik
wystarczają,wystarczać
zupełności,zupełność
utrzymania,utrzymać
ciągłości,ciągłość
organizacji,organizacja
funkcji,funkcja
przedsiębiorstwa,przedsiębiorstwo
drugie,drugi
posesoryjne,posesoryjny
którego,który
przedmiotem,przedmiot
miało,mieć
jest,być
niedopuszczalne,niedopuszczalny
wydanie,wydać
dobra,dobry
niematerialnego,niematerialny
jest,być
niewykonalne,niewykonalny
praktyce,praktyka
więcej,dużo
przedmiotem,przedmiot
posiadania,posiadać
mogą,móc
rzeczy,rzecz
prawa,prawo
majątkowego,majątkowy
którymi,który
łączy,łączyć
rzeczą,rzecz
przypadku,przypadek
lokalu,lokal
którym,który
siedzibę,siedziba
ma,mieć
trzecie,trzeci
ochronę,ochrona
działalności,działalność
przedsiębiorcy,przedsiębiorca
aspekcie,aspekt
potencjalnej,potencjalny
kradzieży,kradzież
jego,on
klienteli,klientela
pojętego,pojąć
obrotu,obrót
zapewniają,zapewniać
szczegółowe,szczegółowy
unormowania,unormować
ustawy,ustawa
zwalczaniu,zwalczać
nieuczciwej,nieuczciwy
konkurencji,konkurencja
należy,należeć
oryginalnego,oryginalny
pomysłu,pomysł
twórców,twórca
Kodeksu,kodeks
handlowego,handlowy
dziale,dział
czwartym,czwarty
księgi,księga
pierwszej,pierwszy
regulował,regulować
problematykę,problematyka
zbycia,zbyć
przedsiębiorstwa,przedsiębiorstwo
ograniczając,ograniczać
tym,ten
miejscu,miejsce
przykładowego,przykładowy
wskazania,wskazać
jego,on
składników,składnik
potrzeb,potrzeba
czynności,czynność
prawnej,prawny
zbycia,zbycie
było,być
odpowiednika,odpowiednik
obecnego,obecny
ta,ten
uznawana,uznawać
była,być
pionierską,pionierski
tym,ten
czasie,czas
jedyna,jedyny
precyzowała,precyzować
wchodzi,wchodzić
przedsiębiorstwa,przedsiębiorstwo
przypadku,przypadek
jego,on
zbycia,zbycie
była,być
ona,on
legislacyjnym,legislacyjny
pierwowzorem,pierwowzór
odrębnej,odrębny
regulacji,regulacja
przedsiębiorstwa,przedsiębiorstwo
ujętego,ująć
wyżej,wysoce
wspomnianym,wspomnieć
przepisie,przepis
obecnego,obecny
Kodeksu,kodeks
cywilnego,cywilny
Najliczniejsze,liczny
najbardziej,bardzo
różnorodne,różnorodny
zbiory,zbiór
zawierają,zawierać
narodowe,narodowy
korpusy,korpus
angielskie,angielski
brytyjskie,brytyjski
in,inaczej
amerykańskie,amerykański
in,inaczej
Zbiory,zbiór
innych,inny
języków,język
rozwijają,rozwijać
Są,być
in,inaczej
mandaryńskiego,mandaryński
korpusy,korpus
języka,język
niderlandzkiego,niderlandzki
duńskiego,duński
języka,język
prawa,prawo
korpusy,korpus
odmian,odmiana
języka,język
francuskiego,francuski
zbiory,zbiór
tekstów,tekst
niektórych,niektóry
języków,język
celtyckich,celtycki
teksty,tekst
norweskie,norweski
brazylijskiej,brazylijski
odmiany,odmiana
języka,język
portugalskiego,portugalski
tekstów,tekst
szwedzkich,szwedzki
korpusy,korpus
europejskiej,europejski
amerykańskich,amerykański
odmian,odmiana
języka,język
hiszpańskiego,hiszpański
języka,język
literatury,literatura
malajskiej,malajski
korpusy,korpus
innych,inny
języków,język
wschodniej,wschodni
Azji,Azja
kilku,kilka
lat,rok
rozwijają,rozwijać
korpusy,korpus
narodowe,narodowy
innych,inny
języków,język
słowiańskich,słowiański
roku,rok
rozpoczęły,rozpocząć
prace,praca
Czeskim,czeski
Korpusem,korpus
Narodowym,narodowy
powstały,powstać
wielkie,wielki
referencyjne,referencyjny
korpusy,korpus
większości,większość
języków,język
słowiańskich,słowiański
których,który
dostępne,dostępny
są,być
Internecie,Internet
wyszukiwarkami,wyszukiwarka
morfologicznymi,morfologiczny
słowiańska,słowiański
stanowi,stanowić
technologii,technologia
większe,duży
romańska,romański
germańska,germański
Języka,język
współorganizował,współorganizować
konferencję,konferencja
założycielską,założycielski
Komisji,komisja
Korpusowej,korpusowy
Międzynarodowego,międzynarodowy
Komitetu,komitet
Slawistów,slawista
por,porucznik
Najbardziej,bardzo
naturalnym,naturalny
użyciem,użycie
korpusów,korpus
językowych,językowy
było,być
autentycznych,autentyczny
materiałów,materiał
językowych,językowy
pracach,praca
słownikowych,słownikowy
języka,język
polskiego,polski
oparty,oprzeć
korpusach,korpus
nowoczesnym,nowoczesny
rozumieniu,rozumienie
tego,ten
pojęcia,pojęcie
listy,list
frekwencyjne,frekwencyjny
różnych,różny
odmian,odmiana
polszczyzny,polszczyzna
lat,rok
sześćdziesiątych,sześćdziesiąty
dwudziestego,dwudziesty
wieku,wiek
in,inaczej
in,inaczej
Dane,dana
te,ten
posłużyły,posłużyć
opracowania,opracować
nowego,nowy
polskiego,polski
słownika,słownik
frekwencyjnego,frekwencyjny
in,inaczej
narzędzi,narzędzie
korpusowych,korpusowy
jest,być
równoległym,równoległy
zbierania,zbierać
danych,dana
zestawem,zestaw
działań,działanie
językoznawstwa,językoznawstwo
korpusowego,korpusowy
niezbędnym,niezbędny
efektywnego,efektywny
używania,używać
korpusów,korpus
Języki,język
takie,taki
stanowią,stanowić
spore,spory
automatycznej,automatyczny
analizy,analiza
morfologicznej,morfologiczny
składniowej,składniowy
języku,język
polskim,polski
częsta,częsty
jest,być
form,forma
gramatycznych,gramatyczny
częściami,część
mowy,mowa
kręgu,krąg
kategorii,kategoria
gramatycznych,gramatyczny
takich,taki
istotne,istotny
automatycznego,automatyczny
rozpoznawania,rozpoznawać
form,forma
wyrazowych,wyrazowy
są,być
propozycje,propozycja
autorów,autor
analizatorów,analizator
morfologicznych,morfologiczny
języka,język
polskiego,polski
programów,program
ujednoznaczniających,ujednoznaczniać
testów,test
ich,on
oceny,ocena
stworzonym,stworzyć
pierwszej,pierwszy
połowie,połowa
lat,rok
Korpusie,korpus
reprezentacji,reprezentacja
tekstów,tekst
wykorzystany,wykorzystać
został,zostać
in,inaczej
wyewoluował,wyewoluować
wcześniejszego,wczesny
owego,ow
standardu,standard
reprezentację,reprezentacja
struktury,struktura
tekstu,tekst
znakowania,znakowanie
znakowania,znakowanie
składniowego,składniowy
wypadku,wypadek
okazało,okazać
konieczne,konieczny
znalezienie,znaleźć
rozwiązania,rozwiązanie
ogólniejszego,ogólny
wyniku,wynik
porównania,porównać
proponowanych,proponować
standardów,standard
reprezentacji,reprezentacja
tekstów,tekst
biorącego,brać
uwagę,uwaga
in,inaczej
ich,on
rozpowszechnienie,rozpowszechnić
reprezentacji,reprezentacja
wszystkich,wszystek
poziomów,poziom
lingwistycznych,lingwistyczny
wybrany,wybrać
został,zostać
zasadzie,zasada
aktualna,aktualny
piąta,piąty
standardu,standard
Jedną,jeden
zalet,zaleta
tego,ten
wyboru,wybór
jest,być
wykorzystywanych,wykorzystywać
elementów,element
atrybutów,atrybut
została,zostać
dokumentacji,dokumentacja
czemu,co
było,być
konieczne,konieczny
tworzenie,tworzyć
osobnej,osobny
rozbudowanej,rozbudować
dokumentacji,dokumentacja
schematu,schemat
Głównym,główny
problemem,problem
wykorzystaniem,wykorzystać
standardu,standard
jego,on
jest,być
uniwersalnym,uniwersalny
standardem,standard
reprezentacji,reprezentacja
różnorodnych,różnorodny
dokumentów,dokument
tekstowych,tekstowy
manuskryptów,manuskrypt
historycznych,historyczny
słowników,słownik
nagrania,nagrać
mowy,mowa
korpusy,korpus
językowe,językowy
pozwalającym,pozwalać
zapisanie,zapisać
informacji,informacja
wszelkich,wszelki
cechach,cech
tekstów,tekst
ich,on
fragmentów,fragment
konieczne,konieczny
było,być
wybranie,wybrać
tych,ten
elementów,element
które,który
są,być
przydatne,przydatny
był,być
niektóre,niektóry
rodzaje,rodzaj
informacji,informacja
konstrukcjach,konstrukcja
składniowych,składniowy
mogą,móc
reprezentowane,reprezentować
różne,różny
sposoby,sposób
takich,taki
sytuacjach,sytuacja
starali,starać
śmy,być
te,ten
schematy,schemat
reprezentacji,reprezentacja
które,który
są,być
najbardziej,bardzo
podobne,podobny
innych,inny
standardów,standard
będących,być
użyciu,użycie
brali,brać
śmy,być
uwagę,uwaga
in,inaczej
rodzinę,rodzina
powstających,powstawać
standardów,standard
efekcie,efekt
wykonana,wykonać
została,zostać
analogiczna,analogiczny
stworzenia,stworzyć
wspomnianego,wspomnieć
standardu,standard
powstałego,powstały
podstawie,podstawa
ówczesnej,ówczesny
wersji,wersja
kanały,kanał
te,ten
są,być
uchwytne,uchwytny
konieczne,konieczny
jest,być
słów,słowo
komentarza,komentarz
uznawali,uznawać
śmy,być
jest,być
danego,dany
tekstu,tekst
prymarne,prymarny
tekstów,tekst
prasowych,prasowy
istocie,istota
pozyskano,pozyskać
Internetu,Internet
wersji,wersja
elektronicznych,elektroniczny
przygotowanych,przygotować
publikacji,publikacja
